Horizonte,RMSE,MAE,MAPE,R2
1,4.232406271773069,3.0965904619836913,4.4271999138345315,0.9468845574605613
2,4.276829411749991,3.122172039686043,4.565091736915933,0.94574814024218
3,4.47690171055615,3.2652935696072154,4.824387080700906,0.9405397732841291
4,4.745761311983574,3.466332897009417,5.169638858459468,0.9331710914729534
5,4.935439043763436,3.607339757199809,5.40473256317462,0.9277001058280656
6,4.994337682665137,3.639023998812248,5.543093006226364,0.9259383104883736
7,5.19364619249733,3.7853063279917163,5.810137802153327,0.9198835529860386
8,5.2808792434415315,3.8234630493935726,5.982324083771169,0.9171402686583462
9,5.458871552738248,3.943951549983045,6.233542882236669,0.9114320714891616
10,5.6468134243668375,4.078148830855831,6.484799633146824,0.9051991515152742
11,5.76918241700718,4.160461783137289,6.6871591962611,0.9010165166021764
12,6.001915738570664,4.321394294557997,6.943055640026599,0.8928371755887626
13,6.169678245335158,4.436287736130881,7.1748168962034615,0.8867241109446542
14,6.3575373440448,4.574960660543941,7.425829859113205,0.8796831348796432
15,6.543765488558188,4.701350577231883,7.6904581760933315,0.8724917796351135
16,6.756686249063515,4.834293127789646,7.9437877071303715,0.8640111017011424
17,6.9455947997337875,4.971763224789407,8.158073318138896,0.8562463079002551
18,7.124550857862632,5.087633953307252,8.413050018840007,0.8486982109556095
19,7.286240278241576,5.19427826204004,8.576946281601986,0.8417043118286408
20,7.494242773406381,5.348010234476963,8.87970868991463,0.8324843063621901
21,7.658523645637321,5.47668933112912,9.161697104662931,0.8250087694388921
22,7.8401546576816585,5.608244374859035,9.414233999188431,0.8165611909005521
23,8.004953433662493,5.717179943751503,9.635977760625508,0.8087167589268501
24,8.163738850255742,5.848575006025112,9.896536812434995,0.8010152841082996
25,8.320739348444938,5.952411800057195,10.122439276584378,0.7932437740788455
26,8.533909982054826,6.104091893995537,10.448657828681979,0.7824676263400014
27,8.641543718993962,6.179634701411007,10.593794940304855,0.7769134145345702
28,8.817714460724027,6.274388951827407,10.81316615675503,0.7676712493610537
29,9.003641971978263,6.396471415445781,11.080360783802593,0.7577100176073414
30,9.208412665451464,6.543279650488949,11.398932951547867,0.7465022807685614
